Amino Acid Length,Time Taken (seconds),Experiment
195,22.67,Experiment 1e
200,24.51,Experiment 1e
5,0.09,Experiment 2a
10,0.19,Experiment 2a
15,0.23,Experiment 2a
20,0.35,Experiment 2a
25,0.48,Experiment 2a
30,0.65,Experiment 2a
35,0.86,Experiment 2a
40,1.2,Experiment 2a
45,1.4,Experiment 2a
50,1.67,Experiment 2a
55,1.98,Experiment 2a
60,2.3,Experiment 2a
65,2.74,Experiment 2a
70,3.13,Experiment 2a
75,3.56,Experiment 2a
80,4.07,Experiment 2a
85,4.51,Experiment 2a
90,5.08,Experiment 2a
95,5.6,Experiment 2a
100,6.21,Experiment 2a
105,7.07,Experiment 2a
110,7.38,Experiment 2a
115,8.05,Experiment 2a
120,8.78,Experiment 2a
125,9.46,Experiment 2a
130,10.44,Experiment 2a
135,11.13,Experiment 2a
140,11.97,Experiment 2a
145,12.91,Experiment 2a
150,13.77,Experiment 2a
155,14.64,Experiment 2a
160,15.85,Experiment 2a
165,16.76,Experiment 2a
170,17.45,Experiment 2a
175,18.79,Experiment 2a
180,20.51,Experiment 2a
185,21.23,Experiment 2a
190,22.64,Experiment 2a
195,24.14,Experiment 2a
200,25.47,Experiment 2a
5,0.1,Experiment 2b
10,0.15,Experiment 2b
15,0.22,Experiment 2b
20,0.35,Experiment 2b
25,0.74,Experiment 2b
30,0.65,Experiment 2b
35,0.86,Experiment 2b
40,1.1,Experiment 2b
45,1.38,Experiment 2b
50,1.69,Experiment 2b
55,1.99,Experiment 2b
60,2.6,Experiment 2b
65,2.65,Experiment 2b
70,3.41,Experiment 2b
75,3.57,Experiment 2b
80,4.23,Experiment 2b
85,4.79,Experiment 2b
90,5.05,Experiment 2b
95,6.2,Experiment 2b
100,6.18,Experiment 2b
105,7.18,Experiment 2b
110,8.52,Experiment 2b
115,8.42,Experiment 2b
120,9.21,Experiment 2b
125,9.91,Experiment 2b
130,10.32,Experiment 2b
135,12.08,Experiment 2b
140,12.5,Experiment 2b
145,13.08,Experiment 2b
150,14.47,Experiment 2b
155,15.4,Experiment 2b
160,15.76,Experiment 2b
165,16.85,Experiment 2b
170,19.16,Experiment 2b
175,18.58,Experiment 2b
180,20.13,Experiment 2b
185,20.93,Experiment 2b
190,22.16,Experiment 2b
195,23.41,Experiment 2b
200,25.12,Experiment 2b
5,0.1,Experiment 2c
10,0.14,Experiment 2c
15,0.23,Experiment 2c
20,0.36,Experiment 2c
25,0.47,Experiment 2c
30,0.69,Experiment 2c
35,0.92,Experiment 2c
40,1.29,Experiment 2c
45,1.33,Experiment 2c
50,1.63,Experiment 2c
55,1.99,Experiment 2c
60,2.37,Experiment 2c
65,2.63,Experiment 2c
70,3.02,Experiment 2c
75,3.46,Experiment 2c
80,3.95,Experiment 2c
85,4.32,Experiment 2c
90,4.89,Experiment 2c
95,5.44,Experiment 2c
100,6.08,Experiment 2c
105,6.94,Experiment 2c
110,7.43,Experiment 2c
115,8.11,Experiment 2c
120,8.73,Experiment 2c
125,9.44,Experiment 2c
130,10.24,Experiment 2c
135,10.95,Experiment 2c
140,12.0,Experiment 2c
145,12.83,Experiment 2c
150,13.52,Experiment 2c
155,14.82,Experiment 2c
160,15.45,Experiment 2c
165,17.09,Experiment 2c
170,17.83,Experiment 2c
175,18.56,Experiment 2c
180,19.98,Experiment 2c
185,20.47,Experiment 2c
190,22.21,Experiment 2c
195,23.77,Experiment 2c
200,24.95,Experiment 2c
5,0.16,Experiment 2d
10,0.24,Experiment 2d
15,0.37,Experiment 2d
20,0.52,Experiment 2d
25,0.83,Experiment 2d
30,0.91,Experiment 2d
35,1.17,Experiment 2d
40,1.41,Experiment 2d
45,1.7,Experiment 2d
50,2.04,Experiment 2d
55,2.34,Experiment 2d
60,2.72,Experiment 2d
65,3.14,Experiment 2d
70,3.59,Experiment 2d
75,4.03,Experiment 2d
80,4.63,Experiment 2d
85,5.29,Experiment 2d
90,5.52,Experiment 2d
95,6.04,Experiment 2d
100,6.77,Experiment 2d
105,7.41,Experiment 2d
110,8.84,Experiment 2d
115,8.89,Experiment 2d
120,9.44,Experiment 2d
125,10.03,Experiment 2d
130,11.21,Experiment 2d
135,12.22,Experiment 2d
140,12.71,Experiment 2d
145,13.73,Experiment 2d
150,14.67,Experiment 2d
155,15.95,Experiment 2d
160,17.19,Experiment 2d
165,18.34,Experiment 2d
170,19.29,Experiment 2d
175,21.16,Experiment 2d
180,22.23,Experiment 2d
185,23.3,Experiment 2d
190,24.82,Experiment 2d
195,25.68,Experiment 2d
200,26.76,Experiment 2d
5,0.17,Experiment 2e
10,0.26,Experiment 2e
15,0.4,Experiment 2e
20,0.56,Experiment 2e
25,0.9,Experiment 2e
30,1.15,Experiment 2e
35,1.32,Experiment 2e
40,1.59,Experiment 2e
45,1.99,Experiment 2e
50,2.24,Experiment 2e
55,2.85,Experiment 2e
60,3.14,Experiment 2e
65,3.59,Experiment 2e
70,3.84,Experiment 2e
75,4.33,Experiment 2e
80,5.01,Experiment 2e
85,5.36,Experiment 2e
90,5.92,Experiment 2e
95,6.99,Experiment 2e
100,7.31,Experiment 2e
